num_lectures,price,days_since_published,content_duration
19,200,1434,1.5
13,20,2431,2.0
114,110,1681,6.0
11,50,1406,1.0
40,200,2018,5.5
65,200,1577,4.5
9,20,1868,1.5
27,175,1558,2.5
26,125,2199,1.5
13,0,1334,0.5166666666666666
34,110,1619,5.5
46,20,2514,5.0
12,200,1553,1.0
53,50,2521,2.5
35,200,1597,1.5
19,50,2525,2.0
11,0,1387,1.5
24,0,2501,3.5
11,20,1731,1.0
8,0,1803,0.7333333333333333
15,0,1812,1.0
10,200,1370,1.0
29,20,2304,3.0
19,0,1475,5.0
24,45,2063,5.5
52,20,1686,4.0
10,25,3211,2.0
48,60,1846,3.0
16,50,2219,2.5
16,25,2131,1.5
13,0,2237,1.0
9,195,1401,0.5
39,170,1803,6.5
17,50,1689,2.0
34,20,1462,1.0
34,30,1346,4.0
20,95,1336,2.0
145,0,1633,8.5
131,50,2303,8.0
18,45,2022,1.0
16,40,2583,4.0
395,180,2155,33.0
10,45,1958,1.5
44,200,2230,4.0
15,20,1526,1.5
70,40,1710,5.0
25,95,1798,1.5
7,35,1605,0.55
17,20,1927,2.0
14,40,1791,1.5
12,20,2365,3.0
13,25,2197,1.0
9,20,1434,1.0
19,0,2137,3.0
12,200,1433,0.6
5,0,2177,1.0
70,50,1343,10.5
90,55,2407,2.5
19,85,1489,2.5
44,50,2331,5.5
70,95,1976,13.5
239,95,1697,25.5
11,20,1737,1.0
32,55,1817,6.0
61,95,1637,2.5
23,70,1458,2.5
12,35,1831,1.0
15,25,2651,1.5
106,50,2135,6.5
82,150,1695,8.0
82,50,1665,4.0
19,20,1559,2.5
59,20,2524,8.0
13,20,1737,1.0
11,25,1632,1.5
17,20,2467,1.5
103,175,2014,13.0
27,0,1638,2.0
10,0,2177,0.5333333333333333
20,0,2223,1.5
16,200,2094,2.5
58,55,2175,4.5
32,40,1609,5.0
16,20,2586,1.0
12,20,2698,2.0
11,20,2300,0.6166666666666667
77,75,1757,6.0
32,95,1361,1.5
27,50,2183,5.0
46,30,1825,9.0
9,20,2500,0.6166666666666667
31,20,1809,1.5
30,200,1592,3.0
16,50,1841,1.0
8,35,2015,0.6166666666666667
17,50,2766,8.0
113,85,1392,18.5
30,70,1932,1.0
63,75,2078,3.5
13,20,2017,0.7
25,50,1727,2.5
33,20,2539,70.0
60,50,1640,7.0
22,70,1941,5.0
33,75,2589,4.5
38,30,2553,12.0
27,30,1738,2.0
6,60,2909,1.0
93,170,1573,4.5
64,20,2260,7.0
36,120,1959,4.0
14,95,1990,1.0
34,20,2102,6.5
9,25,1920,1.0
36,60,1884,2.0
16,20,1889,2.0
62,50,1567,1.5
15,50,2542,2.5
14,20,2088,2.0
27,40,2045,3.5
71,120,1651,14.0
11,200,1997,2.0
202,100,1420,16.0
78,100,1555,6.5
8,45,1931,1.0
8,50,1335,1.5
23,30,2105,3.0
16,30,1955,1.5
25,20,1766,4.0
8,25,1535,1.5
18,0,1405,1.0
50,195,1728,6.0
13,20,2410,1.5
55,175,2338,7.0
11,0,2130,0.7333333333333333
23,20,1664,1.5
94,200,1365,17.5
6,20,2640,2.0
22,20,2635,1.5
26,20,1617,3.0
48,50,1973,3.0
119,140,1803,12.0
23,20,1785,1.0
46,190,1365,5.0
22,0,1861,2.0
46,30,2778,11.5
321,50,1513,3.5
17,150,1786,1.5
53,200,1401,6.5
34,95,1770,3.0
69,0,1407,9.0
26,200,1548,2.0
23,20,3200,3.0
11,25,1365,0.65
61,50,1776,8.0
62,150,1752,12.5
40,125,2638,12.5
35,0,2769,2.5
21,20,1857,1.0
42,50,1572,1.0
30,40,1390,2.0
22,20,2178,2.5
44,30,2001,10.5
14,0,2492,1.5
23,40,1805,2.5
19,20,2770,1.0
15,100,1818,2.0
18,195,1555,1.0
24,20,1731,2.0
16,20,1939,1.5
18,0,1825,2.0
5,30,1760,1.0
48,175,1399,7.0
63,100,1891,11.0
12,25,2158,0.6666666666666666
23,35,1829,3.0
110,25,1923,7.5
24,25,1727,2.0
115,65,1477,9.5
13,20,1633,1.5
15,30,1475,2.0
20,20,2252,1.0
37,95,1896,3.0
8,35,1602,1.0
13,20,1846,0.5333333333333333
178,195,1524,13.0
39,80,1939,3.0
68,150,2014,5.5
37,40,2024,3.5
14,30,1468,2.5
30,70,1832,4.0
35,100,1809,3.5
122,0,1828,21.0
11,20,2037,1.0
87,65,1329,5.0
32,20,3031,5.0
30,0,1952,1.5
129,0,2259,20.5
54,200,1562,4.0
17,0,2279,1.5
30,20,1454,2.0
14,40,1759,1.0
112,20,1569,13.5
9,25,1783,2.0
41,40,1770,6.0
17,20,1984,1.0
12,20,2585,1.5
56,195,1759,7.0
33,40,1652,2.5
17,20,2025,1.5
125,200,1475,14.0
51,0,1657,2.0
18,20,1672,1.0
13,180,1681,3.0
7,35,1757,0.6166666666666667
9,0,1346,1.0
11,25,1815,0.6833333333333333
8,100,1521,1.0
21,35,2514,2.5
19,200,1356,1.0
44,150,1795,7.5
30,20,1819,9.5
12,55,1506,1.0
18,20,1619,0.7166666666666667
36,20,1926,4.0
11,65,1937,1.0
60,95,1951,3.5
27,50,2045,3.5
13,0,1876,3.0
329,190,1562,18.0
34,185,1553,8.0
10,30,1749,2.0
12,25,1835,1.5
8,20,1772,1.0
172,200,1361,11.0
6,0,2746,1.0
16,20,2235,1.0
41,20,1835,4.0
55,40,2012,4.5
16,35,2116,1.0
23,20,1683,2.5
18,200,1997,2.0
32,20,1842,6.0
29,200,1805,3.0
17,20,1749,1.5
33,200,2519,5.5
25,200,2297,2.0
309,50,2302,38.0
27,20,1989,2.5
39,20,1722,3.0
17,50,2478,3.0
42,50,1776,6.5
22,200,1923,2.0
27,190,1932,2.5
35,20,2213,2.5
18,30,1960,1.5
20,85,1499,1.0
40,25,2457,3.0
16,60,2906,2.0
7,25,2273,1.5
9,20,2591,2.5
29,20,1413,7.0
27,50,2535,4.5
24,0,1367,2.5
86,35,2320,14.0
251,195,2872,45.0
29,75,2040,3.0
50,95,1772,4.0
6,60,1365,0.7166666666666667
35,95,1330,4.0
32,185,2190,3.0
6,20,1448,1.0
27,20,1889,1.0
46,20,1514,9.5
20,20,1823,2.0
29,45,1826,2.5
14,20,2681,1.0
21,50,2220,5.5
21,200,2172,2.0
11,35,1455,1.0
25,200,1829,3.0
40,40,2310,3.5
9,60,2903,1.0
11,0,1963,1.0
25,100,1437,6.5
11,40,1572,1.0
65,95,1924,2.5
21,20,1968,2.0
69,175,1356,9.5
24,40,1608,1.5
12,30,1851,1.0
13,95,2032,1.5
71,100,2296,3.5
95,75,1589,8.5
152,200,1627,5.5
49,40,2173,4.5
19,50,1938,2.0
11,20,1949,0.6333333333333333
138,190,1738,7.5
12,80,1437,0.7333333333333333
14,20,1974,3.0
29,95,2051,2.5
61,200,1427,9.5
92,105,1365,4.0
28,100,1985,2.5
16,75,2094,2.0
16,30,1771,3.0
14,30,1933,1.5
99,80,1941,2.0
7,0,1475,1.0
15,60,1622,1.5
12,0,2030,1.0
11,50,1325,2.0
49,200,2073,4.5
100,125,1908,20.5
16,95,1739,1.0
61,75,2188,6.0
16,20,2051,1.5
36,200,1977,2.5
12,40,2035,1.0
25,50,2036,2.0
12,60,1527,1.0
42,95,2072,5.0
16,75,1857,1.5
26,20,2015,3.0
30,20,1377,2.5
8,0,2044,1.0
20,0,2137,3.0
21,0,1361,3.0
87,40,1583,10.0
13,25,2294,1.5
60,20,1637,6.5
28,50,1604,3.0
56,200,1793,11.0
161,145,1358,14.0
98,50,1856,0.5166666666666666
24,95,2268,1.5
76,150,2896,13.0
224,200,2466,28.5
17,40,1808,1.5
6,50,1387,0.5333333333333333
18,50,2233,2.0
18,20,1868,1.0
12,25,1682,1.0
10,60,2908,2.0
31,20,1553,4.0
32,25,1347,3.5
29,200,2084,2.5
45,0,2925,10.5
91,200,2218,10.0
68,20,2010,6.5
24,30,2889,4.0
25,50,1700,1.5
11,40,1779,1.0
25,105,1338,1.5
26,60,1576,0.6333333333333333
69,100,2214,10.0
37,50,1900,1.5
66,20,2235,5.5
35,60,1660,4.0
45,75,2070,4.5
53,45,1861,7.0
10,25,1546,1.0
9,40,2084,2.0
60,50,1785,13.5
29,50,1395,3.5
34,35,2094,1.0
19,25,1790,1.0
18,30,1434,2.5
34,20,1533,1.5
96,195,1618,12.5
9,100,2232,1.0
16,20,2612,3.0
16,100,1322,1.0
36,100,1489,3.0
21,200,2133,2.0
35,45,1665,1.5
83,85,1387,5.0
8,20,1728,1.0
91,60,1730,16.5
30,20,1394,2.5
25,65,2064,1.0
14,40,1370,1.0
28,95,2000,5.0
13,35,1829,1.5
9,0,2681,2.0
22,195,2017,2.0
12,25,2388,3.5
9,35,1621,0.5666666666666667
29,200,2001,1.5
23,30,2057,0.7166666666666667
66,100,1343,12.5
15,25,1471,2.5
52,30,1420,3.5
14,30,1954,2.0
13,20,2233,1.5
55,50,2766,7.5
156,195,1337,24.0
158,150,1511,17.5
35,20,1807,5.0
30,20,2080,2.0
23,50,2466,3.0
108,50,2134,7.0
192,50,2224,6.0
49,50,2162,1.0
348,200,1589,19.5
12,30,1538,0.5833333333333334
15,20,2282,1.0
7,0,1603,1.0
10,50,2186,1.0
21,25,1738,3.0
5,45,1860,1.0
